environment,path,total_time,total_translation,mean_translation_velocity,standard_translation_velocity,total_rotation_sep,total_rotation_nosep,mean_rotation_velocity_sep,mean_rotation_velocity_nosep,standard_rotation_velocity,translation_mean,translation_standard,rotation_mean_sep,rotation_standard_sep,rotation_mean_nosep,rotation_standard_nosep,combined_standard_nosep,combined_mean_nosep,combined_dynamic_nosep
constrained,paths/constrained/RDW_Path_ConstrainedNav_208_orbit_0.txt,128.0634754492255,82.53527305852413,0.6874273355812421,1.0,35516.37017984576,14412.885657704617,255.214483404676,107.66291396295104,90.0,1.0666267942302863,1.5516211518246052,0.9202419493962891,0.3245183202018408,0.9566222383590512,0.7996811370156857,4628.72848136757,13125.761646585963,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_121_center_0.txt,185.8281042304679,87.22807864531482,0.4797791330672355,1.0,65129.058818243066,23785.694754148906,409.0217587274719,139.28320254568172,90.0,1.022107194516436,2.1303702559594213,1.167032648597828,0.2567905890888978,1.08816386268043,0.7031339447347812,6710.63517050934,30497.73110689077,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_116_center_1.txt,206.42512243548782,151.66164389151965,0.9157172889068557,1.0,39276.13569423886,17571.25482042245,213.2808276471738,87.75057768388794,90.0,1.2463734971387868,1.361089838793646,1.1209483871568346,0.47301651984869325,1.030883902561596,1.057309862560359,7448.572086935673,17651.529105458758,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_114_orbit_0.txt,280.5881074067757,128.80025628775317,0.5254561179957907,1.0,97990.59700717259,31582.174065197232,385.15714538176246,114.01208023027367,90.0,1.1446928905510974,2.1784747600184327,1.1028661706077234,0.25770768255204507,1.012926904502582,0.7995944045675408,10108.416106650662,43259.207688540235,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_114_center_0.txt,504.13522968795974,200.46226526416456,0.4277787879026311,1.0,224617.0798757588,96034.49697755184,547.1365535436814,197.60774616129584,90.0,1.0758052504831286,2.514863478289153,1.2280046212157654,0.2019978654206209,1.0373462623793557,0.472457003471598,18158.77823630176,110392.57045304573,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_251_center_0.txt,46.595252534966804,53.10787930539596,1.1829810831691325,1.0,14429.118690680754,6974.60291297919,323.2634414796121,149.7167598117508,90.0,1.037911945181998,0.8773698581903749,1.043898938941665,0.2906326310043793,1.0002132478629773,0.6012632949100375,1685.3793037877285,6053.572377121474,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_246_center_2.txt,176.6643961659933,119.72659420765353,0.7521988345072753,1.0,38073.57778959947,16659.263425149016,240.32326574585116,94.23522005299539,90.0,1.1099184251788976,1.4755652019933598,1.1151188591272387,0.4176070802382731,0.9993243892824162,0.9544116837084696,6366.5335364681405,17000.290344050067,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_243_center_1.txt,292.27898520576474,140.1561202653725,0.5142051264487195,1.0,219079.8562908222,68862.58657208041,790.6021961161581,238.55905299268022,90.0,1.0723138758512372,2.0853815349080858,1.054758805736719,0.12007086874112037,1.012535273379034,0.38199420001432166,10547.44162037358,92653.67231638198,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_221_center_1.txt,106.682220787769,89.23716996646232,0.8597188610648382,1.0,12583.820451984755,9493.506868241822,104.66880781528182,75.35443976000447,90.0,1.0277860378808286,1.1954908568689817,0.8873537974853477,0.7629956186624428,0.8467870820958533,1.0113649259599018,3854.0336735123497,4482.190109849859,0.0
constrained,paths/constrained/RDW_Path_ConstrainedNav_202_center_2.txt,182.41525161499467,173.82831751215053,0.9672301286538926,1.0,521215.5603781529,48657.70103193683,3227.520114914459,300.58802050133704,90.0,1.0150102688284408,1.0493989369841534,1.1295689127688893,0.03149823967925741,1.126889232933864,0.3374054321755535,6585.869971447779,236178.08674509724,0.0
